abase: erniedrigen
repudiate: zurückweisen
repugnant: abstoßend
requisite: Requisit
resignation: Rücktritt
resolute: entschlossen
respite: Aufschub
resplendent: glänzend
resurrection: Auferstehung
reticent: zurückhaltend
retort: Retorte
retrospect: Rückblick
revamp: Revamp
revel: feiern
revere: verehren
revile: schmähen
revulsion: Abscheu
rhapsodize: schwärmen
rhetoric: Rhetorik
ribald: deftig
rife: weit verbreitet
rigorous: rigoros
rivet: Niet
robust: robust
rogue: Schurke
rout: Rotte
rudimentary: rudimentär
rue: bereuen
ruminate: wiederkäuen
rustic: rustikal
saccharine: Sacharin
sacrilege: Sakrileg
sacrosanct: sakrosankt
sagacious: scharfsinnig
salient: hervorstech
sally: Ausfall
salutary: heilsam
salutation: Anrede
sanctimonious: heilige
sanction: Sanktion
sanguine: sanguinisch
sarcasm: Sarkasmus
sardonic: sardonisch
savant: Gelehrter
scant: wenig
schism: Schisma
scintillate: funkeln
scorn: Verachtung
scrupulous: gewissenhaft
scrutinize: prüfen
seamless: nahtlos
secede: abspalten
seclusion: Abgeschiedenheit
sect: Sekte
secular: weltlich
sedentary: sitzende
sedition: Aufruhr
segregate: trennen
self-made: selbstgemacht
sensory: sensorisch
sententious: sententious
sentient: empfindungsfähig
sequester: sequestrieren
serendipity: Spürsinn
serene: heiter
serpentine: Serpentin
servile: unterwürfig
shackle: Fessel
shibboleth: shibboleth
shrewd: klug
singular: Singular
sinister: sinister
skirmish: Scharmützel
skittish: unruhig
slake: stillen
slander: Verleumdung
sloth: Faultier
sobriety: Nüchternheit
solace: Trost
solidarity: Solidarität
solvent: Lösungsmittel
soporific: Schlafmittel
sordid: schmutzig
sovereign: souverän
spate: Flut
spawn: laichen
specious: fadenscheinig
specter: Gespenst
spectrum: Spektrum
sporadic: sporadisch
spurious: unechten
spurn: verschmähen
squalor: Elend
squander: verschwenden
stagnation: Stagnation
stalwart: treu
stark: Stark
static: statisch
staunch: stillen
steadfast: standhaft
stigmatize: stigmatisieren
stint: sparen
stipend: Stipendium
stipulate: vorschreiben
stoic: stoisch
stolid: stur
stout: Stout
stratagem: List
stratum: Schicht
stricture: Striktur
strife: Streit
stringent: strengeren
stupendous: stupende
stupor: Stupor
stymie: stymie
subjugate: unterwerfen
sublime: sublimieren
subordinate: untergeordnet
subside: nachlassen
subsidiary: Tochtergesellschaft
subsidize: subventionieren
substantiate: begründen
substantive: materiell
subterfuge: Täuschung
subtle: subtil
subversive: subversiv
succinct: prägnant
succumb: erliegen
suffice: genügen
suffrage: Wahlrecht
suffuse: durchfluten
sumptuous: üppiges
supercilious: hochnäsig
superficial: oberflächlich
superfluous: überflüssig
supersede: ersetzen
supine: träge
supplication: Flehen
suppress: unterdrücken
surfeit: Überdruss
surmise: Vermutung
surreal: surreal
surreptitious: verstohlen
surrogate: Surrogat
susceptible: anfällig
sweeping: Kehr
sycophant: Schmeichler
syntax: Syntax
synthesis: Synthese
systemic: systemisch
tacit: stillschweigend
taciturn: schweigsam
tactical: taktisch
taint: verderben
tangential: tangential
tangible: greifbar
tantamount: gleichbedeutend
tautological: tautologisch
tedium: Stumpfsinn
teem: wimmeln
temerity: Kühnheit
temperate: gemäßigt
temporal: zeitlich
temporize: ausweichen
tenable: haltbar
tenacious: zäh
tenet: Grundsatz
tentative: versuchsweise
tenuous: dürftig
tepid: lauwarm
terse: knapp
theology: Theologie
thesis: These
thorny: dornig
threshold: Schwelle
throttle: drosseln
thwart: vereiteln
timorous: ängstlich
tirade: Tirade
titillate: kitzeln
titular: Titular-
toil: Mühe
torpor: Trägheit
tortuous: gewunden
touchstone: Prüfstein
tout: Schlepper
toxic: giftig
transcend: transzendieren
transfix: annageln
transgress: überschreiten
transient: transiente
trauma: Trauma
travesty: Travestie
trenchant: pointierten
trepidation: Angst
triumvirate: Triumvirat
tryst: Stelldichein
tumult: Tumult
turbid: trübe
turmoil: Aufruhr
turpitude: turpitude
ubiquitous: allgegenwärtig
uncanny: unheimlich
unconscionable: unzumutbar
unctuous: salbungsvoll
underlying: zugrunde liegt
undermine: untergraben
underscore: unterstreichen
underwrite: garantieren
uniform: Uniform
unilateral: einseitig
unremitting: unablässig
unwitting: unwissentlich
urbane: urban
usurp: usurpieren
usury: Wucher
utilitarian: utilitaristisch
utopia: Utopie
vacillate: schwanken
vacuous: leer
vagary: Laune
vanquish: besiegen
vapid: fade
vehement: vehement
venal: käuflich
veneer: Furnier
venerate: verehren
veracity: Richtigkeit
verbose: wortreich
verdant: grün
verge: Rand
verisimilitude: verisimilitude
verity: Wahrheit
vernacular: Mundart
vestige: Spur
vex: ärgern
viable: lebensfähig
vicarious: stellvertretend
vicissitude: Wandel
vie: wetteifern
vigilant: wachsam
vignette: Vignette
vilify: verunglimpfen
vindicate: rechtfertigen
vindictive: rachsüchtig
virtuoso: Virtuose
virulent: virulent
viscous: viskos
visionary: visionär
vitiate: beeinträchtigen
vitriolic: giftig
vivacious: lebhaft
vocation: Berufung
vociferous: lautstark
vogue: Mode
volatile: flüchtigen
volition: Willenskraft
voluminous: voluminös
voluptuous: wollüstig
voracious: gefräßig
waft: wehen
waive: verzichten
wake: aufwachen
wane: schwinden
wanton: mutwillig
warrant: rechtfertigen
wary: vorsichtig
willful: eigensinnig
wistful: wehmütig
wizened: verhutzelt
woe: Weh
wrath: Zorn
zealous: eifrig
zeitgeist: Sicht der Zeit
zenith: Zenit
