abase: poniżać
rudimentary: prymitywny
rue: rue
ruminate: rozmyślać
rustic: rustykalny
saccharine: sacharyna
sacrilege: świętokradztwo
sacrosanct: święte
sagacious: roztropny
salient: wystający
sally: wypad
salutary: zbawienny
salutation: pozdrowienie
sanctimonious: świętoszkowaty
sanction: sankcja
sanguine: optymistyczny
sarcasm: sarkazm
sardonic: sardoniczny
savant: uczony
scant: skąpy
schism: schizma
scintillate: iskrzyć
scorn: pogarda
scrupulous: skrupulatny
scrutinize: rozpatruje
seamless: bezszwowy
secede: dokonać secesji
seclusion: odosobnienie
sect: sekta
secular: świecki
sedentary: siedzący
sedition: bunt
segregate: segregować
self-made: self-made
sensory: sensoryczny
sententious: sentencjonalny
sentient: czująca
sequester: izolować
serendipity: Serendipity
serene: spokojny
serpentine: serpentyna
servile: służalczy
shackle: jarzmo
shibboleth: shibboleth
shrewd: przebiegły
singular: liczba pojedyncza
sinister: złowrogi
skirmish: potyczka
skittish: płochliwy
slake: zaspokoić
slander: oszczerstwo
sloth: lenistwo
sobriety: trzeźwość
solace: pociecha
solidarity: solidarność
solvent: rozpuszczalnik
soporific: usypiający
sordid: podły
sovereign: suwerenny
spate: wezbranie wód
spawn: ikra
specious: zwodniczy
specter: widmo
spectrum: widmo
sporadic: sporadyczny
spurious: nieprawdziwy
spurn: pogardzać
squalor: brud
squander: roztrwonić
stagnation: stagnacja
stalwart: dzielny
stark: sztywny
static: statyczny
staunch: zagorzały
steadfast: niezłomny
stigmatize: piętnować
stint: skąpić
stipend: zasiłek
stipulate: zastrzec
stoic: stoicki
stolid: powściągliwy
stout: tęgi
stratagem: podstęp
stratum: warstwa
stricture: zwężenie
strife: walka
stringent: rygorystyczne
stupendous: zdumiewający
stupor: stupor
stymie: utrudnieniem
subjugate: ujarzmiać
sublime: wzniosły
subordinate: podwładny
subside: zapadać
subsidiary: zależną
subsidize: dotować
substantiate: uzasadniać
substantive: merytoryczna
subterfuge: wykręt
subtle: subtelny
subversive: wywrotowy
succinct: zwięzły
succumb: ulec
suffice: wystarczać
suffrage: prawo wyborcze
suffuse: oblać
sumptuous: wystawny
supercilious: butny
superficial: powierzchowny
superfluous: zbędny
supersede: zastąpić
supine: supinum
supplication: błaganie
suppress: tłumić
surfeit: przesyt
surmise: przypuszczać
surreal: surrealistyczne
surreptitious: ukryty
surrogate: surogat
susceptible: podatny
sweeping: zamaszysty
sycophant: pochlebca
syntax: składnia
synthesis: synteza
systemic: systemowe
tacit: milcząca
taciturn: małomówny
tactical: taktyczny
taint: skaza
tangential: styczny
tangible: namacalny
tantamount: równoznaczny
tautological: tautologią
tedium: nuda
teem: lać jak z cebra
temerity: zuchwałość
temperate: umiarkowany
temporal: doczesny
temporize: ociągać się
tenable: możliwy do utrzymania
tenacious: wytrwały
tenet: zasada
tentative: niepewny
tenuous: cieniutki
tepid: chłodny
terse: lakoniczny
theology: teologia
thesis: praca
thorny: drażliwy
threshold: próg
throttle: przepustnica
thwart: udaremniać
timorous: bojaźliwy
tirade: tyrady
titillate: podniecać
titular: tytularny
toil: trud
torpor: apatia
tortuous: kręty
touchstone: kamień probierczy
tout: naganiacz
toxic: toksyczny
transcend: przekroczyć
transfix: przebić
transgress: przekraczać
transient: przemijający
trauma: uraz
travesty: parodia
trenchant: kąśliwy
trepidation: drżenie
triumvirate: triumwirat
tryst: schadzka
tumult: tumult
turbid: mętny
turmoil: zamieszanie
turpitude: podłość
ubiquitous: wszechobecny
uncanny: niesamowity
unconscionable: bez sumienia
unctuous: obłudny
underlying: bazowych
undermine: podkopać
underscore: podkreślać
underwrite: gwarantowania
uniform: jednolity
unilateral: jednostronny
unremitting: nieprzerwany
unwitting: niezamierzony
urbane: grzeczny
usurp: uzurpować
usury: lichwa
utilitarian: utylitarny
utopia: utopia
vacillate: chwiać się
vacuous: bezproblemowy
vagary: wyskok
vanquish: pokonać
vapid: nudny
vehement: gwałtowny
venal: przekupny
veneer: fornir
venerate: czcić
veracity: prawdziwość
verbose: gadatliwy
verdant: niedoświadczony
verge: skraj
verisimilitude: verisimilitude
verity: prawda
vernacular: język miejscowy
vestige: ślad
vex: drażnić
viable: zdolny do życia
vicarious: zastępczy
vicissitude: zmienność
vie: rywalizować
vigilant: czujny
vignette: winieta
vilify: oczerniać
vindicate: bronić
vindictive: mściwy
virtuoso: wirtuoz
virulent: zjadliwy
viscous: lepki
visionary: wizjoner
vitiate: wadliwość
vitriolic: jadowity
vivacious: żywy
vocation: powołanie
vociferous: krzykliwy
vogue: moda
volatile: lotny
volition: wola
voluminous: obszerny
voluptuous: zmysłowy
voracious: żarłoczny
waft: podmuch
waive: odstąpić
wake: budzić
wane: słabnąć
wanton: swawolny
warrant: nakaz
wary: ostrożny
willful: samowolny
wistful: tęskny
wizened: poorany zmarszczkami
woe: biada
wrath: gniew
zealous: gorliwy
zeitgeist: perspektywy czasu
zenith: zenit
