abase: стихать
succumb: поддаваться
suffice: достаточно
suffrage: избирательное право
suffuse: покрываться румянцем
sumptuous: роскошный
supercilious: высокомерный
superficial: поверхностный
superfluous: лишнее
supersede: вытеснять
supine: бездеятельный
supplication: мольба
suppress: подавлять
surfeit: неумеренность
surmise: предполагать
surreal: сюрреалистический
surreptitious: тайный
surrogate: суррогат
susceptible: восприимчивы
sweeping: подметание
sycophant: подхалим
syntax: синтаксис
synthesis: синтез
systemic: системная
tacit: молчаливое
taciturn: молчаливый
tactical: тактический
taint: зараза
tangential: тангенциальный
tangible: материальное
tantamount: равносильно
tautological: тавтологический
tedium: скука
teem: изобиловать
temerity: безрассудство
temperate: умеренный
temporal: временной
temporize: медлить
tenable: надежный
tenacious: цепкий
tenet: принцип
tentative: предварительный
tenuous: незначительный
tepid: прохладный
terse: немногословный
theology: теология
thesis: Тезис
thorny: тернистый
threshold: порог
throttle: дроссель
thwart: мешать
timorous: боязливый
tirade: тирада
titillate: щекотать
titular: титулярный
toil: тяжелый труд
torpor: оцепенение
tortuous: извилистый
touchstone: пробный камень
tout: рекламировать
toxic: токсический
transcend: преодолеть
transfix: пронзать
transgress: преступать
transient: преходящий
trauma: травма
travesty: пародия
trenchant: острый
trepidation: трепет
triumvirate: триумвират
tryst: свидание
tumult: смятение
turbid: мутный
turmoil: смятение
turpitude: низость
ubiquitous: вездесущий
uncanny: сверхъестественный
unconscionable: бессовестный
unctuous: жирный
underlying: лежащий в основе
undermine: подрывать
underscore: нижнее подчеркивание
underwrite: гарантировать
uniform: единая
unilateral: односторонний
unremitting: неослабный
unwitting: невольный
urbane: вежливый
usurp: узурпировать
usury: ростовщичество
utilitarian: утилитарный
utopia: утопия
vacillate: колебаться
vacuous: пустой
vagary: каприз
vanquish: побеждать
vapid: бессодержательный
vehement: неистовый
venal: продажный
veneer: шпон
venerate: чтить
veracity: достоверность
verbose: подробный
verdant: зеленый
verge: обочина
verisimilitude: правдоподобие
verity: истина
vernacular: общеупотребительный
vestige: рудимент
vex: досаждать
viable: жизнеспособный
vicarious: чужой
vicissitude: перемена
vie: соперничать
vigilant: бдительный
vignette: виньетка
vilify: поносить
vindicate: отстаивать
vindictive: мстительный
virtuoso: виртуоз
virulent: вирулентный
viscous: вязкий
visionary: провидец
vitiate: портить
vitriolic: резкий
vivacious: живой
vocation: призвание
vociferous: многоголосый
vogue: мода
volatile: летучий
volition: воля
voluminous: объемистый
voluptuous: сладострастный
voracious: ненасытный
waft: дуновение
waive: отказываться от
wake: разбудить
wane: убыль
wanton: бессмысленный
warrant: ордер
wary: осторожный
willful: своевольный
wistful: задумчивый
wizened: высохший
woe: горе
wrath: гнев
zealous: ревностный
zeitgeist: перспектива времени
zenith: зенит
