abase: humilhar
toxic: tóxico
transcend: transcender
transfix: transfixar
transgress: transgredir
transient: transitório
trauma: trauma
travesty: caricatura
trenchant: mordaz
trepidation: trepidação
triumvirate: triunvirato
tryst: encontro marcado
tumult: tumulto
turbid: turvo
turmoil: tumulto
turpitude: torpeza
ubiquitous: ubíquo
uncanny: misterioso
unconscionable: injusto
unctuous: untuoso
underlying: subjacente
undermine: minar
underscore: sublinhar
underwrite: subscrever
uniform: uniforme
unilateral: unilateral
unremitting: incessante
unwitting: involuntário
urbane: cortês
usurp: usurpar
usury: usura
utilitarian: utilitário
utopia: utopia
vacillate: vacilar
vacuous: vazio
vagary: capricho
vanquish: vencer
vapid: insípido
vehement: veemente
venal: venal
veneer: folheado
venerate: venerar
veracity: veracidade
verbose: verboso
verdant: verdejante
verge: beira
verisimilitude: verossimilhança
verity: verdade
vernacular: vernáculo
vestige: vestígio
vex: molestar
viable: viável
vicarious: vicário
vicissitude: vicissitude
vie: rivalizar
vigilant: vigilante
vignette: vinheta
vilify: vilipendiar
vindicate: vindicar
vindictive: vingativo
virtuoso: virtuoso
virulent: virulento
viscous: viscoso
visionary: visionário
vitiate: viciar
vitriolic: vitriólico
vivacious: vivaz
vocation: vocação
vociferous: vociferador
vogue: voga
volatile: volátil
volition: volição
voluminous: volumoso
voluptuous: voluptuoso
voracious: voraz
waft: bafo
waive: renunciar
wake: acordar
wane: declínio
wanton: arbitrário
warrant: garantia
wary: cauteloso
willful: intencional
wistful: saudoso
wizened: encarquilhado
woe: aflição
wrath: ira
zealous: zeloso
zeitgeist: perspectiva do tempo
zenith: zênite
