abase: ถ่อมตัว
machination: เพทุบาย
magnanimous: ใจกว้าง
magnate: เจ้าสัว
malaise: วิงเวียน
malapropism: คำที่ใช้ผิด ๆ
malfeasance: การผิดวินัย
malignant: ร้าย
malinger: บิดพลิ้ว
malleable: ดัดแปลงได้ง่าย
mandate: อาณัติ
mania: ความบ้าคลั่ง
manifest: ประจักษ์
manifesto: การประกาศ
marginal: ร่อแร่
marshal: จอมพล
martial: การต่อสู้
martyr: เรียกร้องความสนใจ
materialistic: เป็นรูปธรรม
matriculate: บวช
maudlin: สะอึกสะอื้น
maverick: นอกรีต
mawkish: น่าหมั่นไส้
maxim: ความจริง
meander: คดเคี้ยว
mediate: ไกล่เกลี่ย
medium: กลาง
melancholy: เศร้าโศก
melee: มวยหมู่
mellifluous: ไพเราะ
menagerie: โรงละครสัตว์
mendacious: โกหก
mendicant: ขอทาน
mentor: ที่ปรึกษา
mercenary: ทหารรับจ้าง
mercurial: หลายใจ
metamorphosis: การเปลี่ยนแปลง
meticulous: พิถีพิถัน
microcosm: พิภพเล็ก ๆ
milieu: สภาพแวดล้อม
millennium: สหัสวรรษ
miniscule: miniscule
mire: โคลนตม
misanthropic: ซึ่งเกลียดมนุษย์
mitigate: บรรเทา
mode: โหมด
modulate: ปรับ
mollify: ระงับโทสะ
momentum: โมเมนตัม
monolithic: เป็นเสาหิน
moratorium: ประกาศพักชำระหนี้
mores: ประเพณี
moribund: ร่อแร่
morose: อารมณ์ไม่ดี
mortify: ระงับ
motif: แม่ลาย
motley: ผสมผเส
mundane: โลกีย์
municipal: ในเขตเทศบาลเมือง
munificent: เอื้อเฟื้อเผื่อแผ่
muse: รำพึง
muster: ชุมนุม
myopia: สายตาสั้น
myriad: นับไม่ถ้วน
mystic: ลึกลับ
narcissism: หลงตัวเอง
nebulous: คลุมเครือ
nefarious: สามานย์
nemesis: กรรมตามสนอง
neologism: ลัทธิใหม่
neophyte: เณร
nepotism: การเลือกที่รักมักที่ชัง
nihilism: ลัทธิทำลาย
nirvana: นิพพาน
noisome: เป็นพิษ
nomadic: พเนจร
nomenclature: ศัพท์เฉพาะ
nominal: น้อย
nonchalant: ไม่ไยดี
nostalgia: ความคิดถึง
notorious: ฉาวโฉ่
novel: นวนิยาย
noxious: มีพิษ
nuance: แตกต่างกันนิดหน่อย
nullify: ลบล้าง
obdurate: ดื้อรั้น
obeisance: การถวายบังคม
obfuscate: ทำให้งงงวย
objective: วัตถุประสงค์
oblique: เอียง
oblivion: การให้อภัย
obscure: ปิดบัง
obsequious: ประจบสอพลอ
obtrusive: เสือก
obtuse: ป้าน
obviate: ลบล้าง
occult: ลึกลับ
odious: น่ารังเกียจ
odyssey: การผจญภัย
officious: เจ้ากี้เจ้าการ
olfactory: เกี่ยวกับจมูก
oligarchy: คณาธิปไตย
ominous: เป็นลางไม่ดี
omniscient: ที่ตรัสรู้
onerous: หนัก
opaque: ทึบแสง
opprobrious: น่ารังเกียจ
opulent: มั่งคั่ง
ordinance: พระราชกฤษฎีกา
orthodox: ดั้งเดิม
oscillate: สั่น
osmosis: ออสโมซิ
ostensible: ชัดเจน
ostentatious: โอ้อวด
ostracize: ริดรอนสิทธิ
oust: ขับไล่
override: แทนที่
overture: การทาบทาม
oxymoron: รูปของภาษาที่ใช้ถ้อยคำขัดกัน
pacify: ปลอบ
painstaking: อุตสาหะ
palatable: อร่อย
palliate: บรรเทา
pallor: สีซีด
palpable: เห็นได้ชัด
paltry: เล็ก ๆ น้อย ๆ
panacea: ยาครอบจักรวาล
pandemic: การระบาดกระจายทั่ว
panegyric: สดุดี
parable: อุปมา
paradigm: กระบวนทัศน์
paradox: บุคคลที่ผิดธรรมดา
paragon: เพชรน้ำหนึ่ง
parallel: ขนาน
paranoia: ความหวาดระแวง
paranormal: อาถรรพณ์
parochial: แคบ
parody: ล้อเลียน
paroxysm: การปะทุ
parsimonious: ประหยัด
partisan: พรรคพวก
partition: พาร์ทิชัน
pastoral: พระ
patent: สิทธิบัตร
paternal: ฝ่ายบิดา
pathology: พยาธิวิทยา
pathos: สิ่งที่น่าสมเพช
patina: คราบ
patriarch: พระสังฆราช
patrician: ขุนนาง
patrimony: มรดก
patronize: สนับสนุน
paucity: ความยากจน
peccadillo: ข้อบกพร่องเล็ก ๆ น้อย ๆ
peculiar: แปลก
pedantic: อวดความรู้
pedestrian: คนเดินเท้า
pejorative: ซึ่งดูถูก
penchant: ใจชอบ
penitent: สำนึกผิด
pensive: หม่น
peregrination: การเดินทางด้วยเท้า
peremptory: เด็ดขาด
perennial: ตลอดกาล
perfidy: การทรยศ
perfunctory: พอเป็นพิธี
peripatetic: เดินทางไปมา
periphery: รอบนอก
perjury: การเบิกความเท็จ
permeate: ซึม
pernicious: เป็นอันตราย
perpetrator: ผู้กระทำผิด
perpetuate: ขยายเวลา
perquisite: เศษเลย
pertinent: ตรงประเด็น
perturb: รบกวน
peruse: อ่าน
pervade: ฟุ้ง
perverse: ขี้อ้อน
petulant: ขี้งอน
phantasm: ภาพหลอน
philanthropy: การทำบุญ
philistine: philistine
phlegmatic: วางเฉย
pilgrimage: แสวงบุญ
pious: เคร่งศาสนา
pivotal: เป็นจุดสำคัญ
placate: ปิดปาก
placebo: ได้รับยาหลอก
plaintive: คร่ำครวญ
platitude: คำพูดซ้ำซาก
platonic: สงบ
plausible: เป็นไปได้
plebeian: สามัญชน
plethora: มากมายเหลือเฟือ
pliable: ยืดหยุ่นได้
plight: สภาพ
plunder: ปล้น
pluralism: จำนวนมาก
poignant: สาหัส
polarize: ทำให้มีลักษณะเป็นแม่เหล็ก
polemic: โต้เถียง
ponderous: น่าเบื่อ
pontificate: ตำแหน่งสังฆราช
porous: เป็นรูพรุน
portent: ความหมาย
posterity: ลูกหลานของเรา
posthumous: เสียชีวิต
postulate: สมมุติ
posture: ท่า
pragmatic: ในทางปฏิบัติ
prattle: พูดพร่ำ
precarious: ล่อแหลม
precedent: ก่อนหน้านี้
precept: ศีล
precipitate: ตะกอน
precipitous: ชัน
preclude: ดักคอ
precocious: แก่แดด
precursor: ผู้นำ
predecessor: บรรพบุรุษ
predicament: สถานการณ์
predilection: ความสมัครใจ
predispose: จูงใจ
predominant: เด่น
preeminent: ที่โดดเด่น
preempt: ยึดเอาเสียก่อน
pregnant: ตั้งครรภ์
prelude: โหมโรง
premeditated: ซึ่งไตร่ตรองไว้ล่วงหน้า
premise: หลักฐาน
preponderance: ความสำคัญยิ่ง
prepossess: ทำให้ชื่นชอบ
prerogative: อภิสิทธิ์
presage: ลางบอกเหตุ
presentiment: ความสังหรณ์ใจ
presumably: สันนิษฐานว่า
presuppose: โมเม
prevail: เหนือกว่า
primal: ครั้งแรก
pristine: เก่าแก่
privation: ความขาดแคลน
proclaim: ประกาศ
procure: จัดหา
prodigal: ฟุ่มเฟือย
prodigious: มหัศจรรย์
prodigy: ตัวอย่างมหัศจรรย์
profane: ดูหมิ่น
profess: ยอมรับ
proficient: ที่มีความเชี่ยวชาญ
profligate: เสเพล
profound: ลึกซึ้ง
profuse: มากมาย
progeny: ลูกหลาน
proletariat: ชนชั้นกรรมาชีพ
proliferate: แพร่หลาย
prolific: อุดมสมบูรณ์
promulgate: ประกาศใช้
propagate: เผยแพร่
propensity: นิสัยชอบ
propitious: เป็นมงคล
proponent: ผู้แสดง
propound: propound
proprietary: ที่เป็นกรรมสิทธิ์
propriety: ความถูกต้อง
prosaic: น่าเบื่อ
proscribe: ห้าม
proselytize: ทำให้เปลี่ยนศาสนา
protagonist: ตัวเอก
protege: บุตรบุญธรรม
protocol: โปรโตคอล
protract: ขยายออก
provident: ชีพ
provincial: ต่างจังหวัด
provisional: ชั่วคราว
provocation: สิ่งเร้า
prowess: ความกล้าหาญ
proximity: ความใกล้ชิด
prudent: รอบคอบ
prurient: มักมากในกาม
pseudonym: นามแฝง
psyche: จิตใจ
pummel: ชกต่อย
punctilious: หยุมหยิม
pundit: บัณฑิต
pungent: ฉุน
punitive: เป็นการลงโทษ
purblind: ตาบอดตาใส
puritanical: เจ้าระเบียบ
putative: สมมุติ
quaint: แปลกตา
qualify: มีคุณสมบัติ
qualitative: คุณภาพ
quandary: ความไม่แน่ใจ
quasi: เสมือน
quay: ท่าเรือ
quell: ระงับ
querulous: ขี้บ่น
query: การสอบถาม
queue: คิว
quiescent: นิ่ง
quintessential: ที่เป็นแก่นสาร
quixotic: เพ้อฝัน
quizzical: แปลก
quotidian: ประจำวัน
ramification: การแตกกิ่งก้าน
rampant: อาละวาด
rancor: ความเคียดแค้น
rapacious: แย่งชิง
rapture: ความปลาบปลื้มใจ
rarefied: ซึ่งได้ทำให้บริสุทธิ์
ratify: ให้สัตยาบัน
ratiocination: ratiocination
rationale: เหตุผล
raucous: แหบ
reactionary: แย้ง
rebuff: ปฏิเสธ
rebuke: ตำหนิ
rebut: โต้แย้ง
recalcitrant: พยศ
recant: ถอนคำพูด
recidivism: การกระทำผิดซ้ำ
reciprocal: ซึ่งกันและกัน
reclaim: เรียกคืน
reclusive: สันโดษ
recondite: ลึกซึ้ง
recrimination: การกล่าวหากัน
redeem: ไถ่ถอน
redolent: มีกลิ่นหอม
redress: แก้ไข
redundant: ซ้ำซ้อน
referendum: ประชามติ
refractory: อาละวาด
refute: หักล้าง
regime: ระบบการปกครอง
regimen: ระบบการปกครอง
reiterate: ย้ำ
relegate: ขับไล่
relentless: กระด้าง
relinquish: สละ
remission: การให้อภัย
remonstrate: ประท้วง
remuneration: ค่าตอบแทน
renaissance: ยุคฟื้นฟูศิลปวิทยา
rend: ฉีก
render: ทำให้
renounce: สละ
reparation: การซ่อมแซม
repartee: คำตอบที่เฉียบแหลม
repercussion: สิ่งที่สะท้อนกลับ
replenish: เสริมกำลัง
replete: เพียบพร้อม
replicate: ทำซ้ำ
repose: นอนหลับ
reprehensible: เลวทราม
repress: ปราบปราม
reprimand: ตำหนิ
reprisal: การแก้แค้น
reproach: ตำหนิ
reprobate: คนเลว
reprove: ตำหนิติเตียน
repudiate: ปฏิเสธ
repugnant: เป็นปฏิปักษ์
requisite: จำเป็น
resignation: การลาออก
resolute: เด็ดเดี่ยว
respite: การพักผ่อน
resplendent: รุ่งโรจน์
resurrection: การฟื้นคืนพระชนม์
reticent: สงวนท่าที
retort: ย้อน
retrospect: หวนกลับ
revamp: ปะ
revel: มีความสุขมาก
revere: นบนอบ
revile: ด่า
revulsion: ความรังเกียจอย่างแรง
rhapsodize: rhapsodize
rhetoric: วาทศาสตร์
ribald: ไม่เคารพ
rife: มากมาย
rigorous: เข้มงวด
rivet: หมุดย้ำ
robust: ที่แข็งแกร่ง
rogue: โกง
rout: ปราชัย
rudimentary: เป็นพื้นฐาน
rue: รู
ruminate: ครุ่นคิด
rustic: บ้านนอก
saccharine: น้ำตาลเทียม
sacrilege: การล่วงเกินสิ่งศักดิ์สิทธิ์
sacrosanct: จะทำลายมิได้
sagacious: ไหวพริบ
salient: เด่น
sally: ฝ่าวงล้อมออกมา
salutary: มีประโยชน์
salutation: คำทักทาย
sanctimonious: มีศีลธรรม
sanction: การอนุมัติ
sanguine: ร่าเริง
sarcasm: การเสียดสี
sardonic: ขมขื่น
savant: เมธี
scant: ขาดแคลน
schism: การแตกแยก
scintillate: ส่องแสงระยิบระยับ
scorn: ดูถูก
scrupulous: ระมัดระวัง
scrutinize: กลั่นกรอง
seamless: ไม่มีรอยต่อ
secede: แยกออก
seclusion: ความสันโดษ
sect: นิกาย
secular: ฆราวาส
sedentary: อยู่ประจำที่
sedition: การปลุกระดม
segregate: แยก
self-made: ที่สร้างตัวเอง
sensory: ประสาทสัมผัส
sententious: หลักแหลม
sentient: เกรียวกราว
sequester: ยึดทรัพย์
serendipity: บังเอิญ
serene: สงบเงียบ
serpentine: คดเคี้ยว
servile: เหมือนคนรับใช้
shackle: กุญแจมือ
shibboleth: shibboleth
shrewd: ฉลาด
singular: เอกพจน์
sinister: น่ากลัว
skirmish: การต่อสู้กัน
skittish: พยศ
slake: ทำให้เย็นลง
slander: ใส่ร้าย
sloth: ความเฉื่อยชา
sobriety: ความสุขุม
solace: การปลอบใจ
solidarity: ความเป็นน้ำหนึ่งใจเดียวกัน
solvent: ตัวทำละลาย
soporific: ทำให้หลับ
sordid: ต่ำต้อย
sovereign: กษัตริย์
spate: น้ำท่วม
spawn: วางไข่
specious: ตบตา
specter: สถานที่น่ากลัว
spectrum: คลื่นความถี่
sporadic: ประปราย
spurious: ปลอม
spurn: ดันออก
squalor: ความสกปรก
squander: เปลือง
stagnation: ความเมื่อยล้า
stalwart: กำยำ
stark: สิ้นเชิง
static: คงที่
staunch: แข็งขัน
steadfast: มั่นคง
stigmatize: ตีตรา
stint: จำกัด
stipend: ค่าจ้าง
stipulate: กำหนด
stoic: อดทน
stolid: ไม่หวั่นไหว
stout: อ้วน
stratagem: อุบาย
stratum: ชั้น
stricture: การกล่าวหา
strife: การปะทะกัน
stringent: เข้มงวด
stupendous: น่าทึ่ง
stupor: อาการมึนงง
stymie: กีดกัน
subjugate: ปราบปราม
sublime: ประเสริฐ
subordinate: ผู้ใต้บังคับบัญชา
subside: ทรุด
subsidiary: บริษัท ย่อย
subsidize: สงเคราะห์เงิน
substantiate: ยืนยัน
substantive: สำคัญ
subterfuge: แต้มคู
subtle: บอบบาง
subversive: ซึ่งถูกโค่นล้ม
succinct: รวบรัด
succumb: ยอม
suffice: พอเพียง
suffrage: การอธิษฐาน
suffuse: กระจาย
sumptuous: หรูหรา
supercilious: หยิ่งยะโส
superficial: เพียงผิวเผิน
superfluous: ฟุ่มเฟือย
supersede: แทน
supine: หงาย
supplication: วิงวอน
suppress: ปราบปราม
surfeit: ปรนเปรอ
surmise: คาดการณ์
surreal: เซอร์เรียล
surreptitious: ซ่อนเร้น
surrogate: ตัวแทน
susceptible: ความเสี่ยงที่
sweeping: การกวาด
sycophant: คนสอพลอ
syntax: ไวยากรณ์
synthesis: สังเคราะห์
systemic: ระบบ
tacit: โดยปริยาย
taciturn: ขรึม
tactical: เกี่ยวกับยุทธวิธี
taint: มลทิน
tangential: สัมผัสวง
tangible: ที่มีตัวตน
tantamount: พอ ๆ กัน
tautological: ซ้ำ
tedium: ความน่าเบื่อ
teem: มีอยู่เต็ม
temerity: ความอาจหาญ
temperate: ปานกลาง
temporal: ชั่วขณะ
temporize: หน่วงเหนี่ยว
tenable: ปรองดองกันได้
tenacious: หวงแหน
tenet: ทฤษฎี
tentative: ชั่วคราว
tenuous: ความผอมบาง
tepid: อุ่น
terse: สั้น
theology: เทววิทยา
thesis: วิทยานิพนธ์
thorny: มีหนาม
threshold: ธรณีประตู
throttle: เค้น
thwart: ขัดขวาง
timorous: ขี้ขลาดตาขาว
tirade: คำด่าว่า
titillate: ทำให้จั๊กจี้
titular: มียศ
toil: ความเหน็ดเหนื่อย
torpor: การหมดความรู้สึก
tortuous: คดเคี้ยว
touchstone: มาตรฐาน
tout: ผู้ดึงลูกค้า
toxic: เป็นพิษ
transcend: อยู่เหนือ
transfix: ตรึง
transgress: ละเมิด
transient: ชั่วคราว
trauma: การบาดเจ็บ
travesty: การเลียนแบบ
trenchant: คม
trepidation: ความกังวลใจ
triumvirate: สามเสือ
tryst: สถานที่นัดพบ
tumult: ความวุ่นวาย
turbid: ขุ่น
turmoil: ความสับสนอลหม่าน
turpitude: เลวทรามต่ำช้า
ubiquitous: แพร่หลาย
uncanny: ลึกลับ
unconscionable: เหลือเกิน
unctuous: สอพลอ
underlying: พื้นฐาน
undermine: บ่อนทำลาย
underscore: ขีดเส้นใต้
underwrite: รับประกัน
uniform: เหมือนกัน
unilateral: มีข้างเดียว
unremitting: ต่อเนื่อง
unwitting: ไม่รู้
urbane: อ่อนโยน
usurp: แย่งชิง
usury: ดอกเบื้ยขูดเลือด
utilitarian: ประโยชน์
utopia: ยูโทเปีย
vacillate: ลังเลใจ
vacuous: ว่างเปล่า
vagary: ความไม่แน่นอน
vanquish: กำราบ
vapid: น่าเบื่อ
vehement: ดุดัน
venal: รับสินบน
veneer: แผ่นไม้อัด
venerate: เคารพ
veracity: ความจริง
verbose: อย่างละเอียด
verdant: เขียวขจี
verge: เกือบจะ
verisimilitude: นิยม
verity: สิ่งที่เป็นจริง
vernacular: ภาษาพื้นเมือง
vestige: ร่องรอย
vex: ก่อกวน
viable: ทำงานได้
vicarious: เป็นตัวแทน
vicissitude: ๆ ลง ๆ
vie: แข่งขัน
vigilant: ระมัดระวัง
vignette: บทความสั้น
vilify: ใส่ไฟ
vindicate: กู้
vindictive: พยาบาท
virtuoso: อัจฉริยะ
virulent: รุนแรง
viscous: หนืด
visionary: จินตนาการ
vitiate: ทำให้เสีย
vitriolic: กัดกร่อนมาก
vivacious: มีชีวิตชีวา
vocation: อาชีพ
vociferous: อื้ออึง
vogue: สมัย
volatile: ระเหย
volition: ตั้งใจ
voluminous: มากมาย
voluptuous: ยั่วยวน
voracious: โลภ
waft: พัด
waive: สละ
wake: ปลุก
wane: เสื่อมโทรม
wanton: ป่าเถื่อน
warrant: ใบสำคัญแสดงสิทธิ
wary: ระมัดระวัง
willful: จงใจ
wistful: โหยหา
wizened: ร่วงโรย
woe: ความฉิบหาย
wrath: การลงโทษ
zealous: กระตือรือร้น
zeitgeist: จิตวิญญาณ
zenith: สุดยอด
