abase: humilier
turbid: trouble
turmoil: la tourmente
turpitude: turpitude
ubiquitous: omniprésent
uncanny: étrange
unconscionable: déraisonnable
unctuous: onctueux
underlying: sous-jacent
undermine: saper
underscore: souligner
underwrite: souscrire
uniform: uniforme
unilateral: unilatéral
unremitting: inlassable
unwitting: involontaire
urbane: urbain
usurp: usurper
usury: usure
utilitarian: utilitaire
utopia: utopie
vacillate: vaciller
vacuous: vide
vagary: caprice
vanquish: vaincre
vapid: insipide
vehement: véhément
venal: vénal
veneer: vernis
venerate: vénérer
veracity: véracité
verbose: verbeux
verdant: verdoyant
verge: bord
verisimilitude: vraisemblance
verity: vérité
vernacular: vernaculaire
vestige: vestige
vex: vexer
viable: viable
vicarious: du fait d'autrui
vicissitude: vicissitudes
vie: lutter
vigilant: vigilant
vignette: vignette
vilify: diffamer
vindicate: justifier
vindictive: vindicatif
virtuoso: virtuose
virulent: virulent
viscous: visqueux
visionary: visionnaire
vitiate: vicier
vitriolic: mordant
vivacious: vivace
vocation: vocation
vociferous: bruyant
vogue: vogue
volatile: volatil
volition: volition
voluminous: volumineux
voluptuous: voluptueux
voracious: vorace
waft: bouffée
waive: renoncer à
wake: réveiller
wane: décliner
wanton: capricieux
warrant: mandat
wary: prudent
willful: délibéré
wistful: mélancolique
wizened: desséché
woe: malheur
wrath: colère
zealous: zélé
zeitgeist: point de vue du temps
zenith: zénith
