abase: 凌辱
stipulate: 规定
stoic: 坚忍
stolid: 慢性子的
stout: 肥硕
stratagem: 计谋
stratum: 地层
stricture: 狭窄
strife: 纷争
stringent: 严格
stupendous: 巨大的
stupor: 麻木
stymie: 阻碍
subjugate: 征服
sublime: 升华
subordinate: 下属
subside: 塌陷
subsidiary: 副
subsidize: 资助
substantiate: 证明
substantive: 实质性
subterfuge: 托词
subtle: 微妙
subversive: 颠覆
succinct: 简洁
succumb: 屈服于
suffice: 足够了
suffrage: 选举权
suffuse: 弥漫
sumptuous: 豪华
supercilious: 高傲
superficial: 浅
superfluous: 多余
supersede: 取而代之
supine: 仰卧
supplication: 祷
suppress: 压制
surfeit: 过量
surmise: 推测
surreal: 超现实主义
surreptitious: 偷偷摸摸
surrogate: 代孕
susceptible: 易感
sweeping: 笼统的
sycophant: 巴儿狗
syntax: 句法
synthesis: 合成
systemic: 系统的
tacit: 默
taciturn: 沉默寡言的
tactical: 战术
taint: 污点
tangential: 切
tangible: 有形
tantamount: 无异
tautological: 同义反复
tedium: 乏味
teem: 富于
temerity: 蛮勇
temperate: 适度的
temporal: 颞
temporize: 拖延
tenable: 成立
tenacious: 顽强
tenet: 信条
tentative: 暂定
tenuous: 纤细
tepid: 不温不火
terse: 简洁
theology: 神学
thesis: 论文
thorny: 多刺的
threshold: 阈
throttle: 风门
thwart: 阻挠
timorous: 恇
tirade: 长篇大论
titillate: 撩拨
titular: 名义
toil: 辛劳
torpor: 麻木
tortuous: 曲折
touchstone: 试金石
tout: 兜售
toxic: 有毒的
transcend: 超越
transfix: 刺穿
transgress: 侵越
transient: 短暂
trauma: 外伤
travesty: 滑稽模仿
trenchant: 鞭辟入里
trepidation: 诚惶诚恐
triumvirate: 三驾马车
tryst: 幽会
tumult: 骚动
turbid: 混浊
turmoil: 动荡
turpitude: 沦丧
ubiquitous: 无处不在
uncanny: 神秘的
unconscionable: 不合情理
unctuous: 油腻的
underlying: 底层
undermine: 破坏
underscore: 下划线
underwrite: 包销
uniform: 制服
unilateral: 单方面
unremitting: 不懈
unwitting: 不知情
urbane: 彬彬有礼
usurp: 篡
usury: 高利贷
utilitarian: 功利
utopia: 乌托邦
vacillate: 动摇
vacuous: 空的
vagary: 奇思妙想
vanquish: 征服
vapid: 拼着
vehement: 慷慨
venal: 腐败的
veneer: 单板
venerate: 钦仰
veracity: 准确性
verbose: 详细
verdant: 葱茏
verge: 边缘
verisimilitude: 逼真
verity: 真理
vernacular: 白话
vestige: 痕迹
vex: 烦恼
viable: 可行
vicarious: 替代
vicissitude: 变迁
vie: 争夺
vigilant: 警惕
vignette: 小插图
vilify: 丑化
vindicate: 表白
vindictive: 斗气
virtuoso: 大师
virulent: 剧毒
viscous: 粘性的
visionary: 有远见
vitiate: 抑损
vitriolic: 硫酸
vivacious: 活泼
vocation: 职业
vociferous: 响亮
vogue: 时尚
volatile: 挥发物
volition: 意志
voluminous: 丰满
voluptuous: 妖娆
voracious: 贪心
waft: 信号旗
waive: 放弃
wake: 唤醒
wane: 没落
wanton: 放肆
warrant: 保证
wary: 警惕
willful: 恣意
wistful: 怅惘
wizened: 干瘪
woe: 荣辱与共
wrath: 愤怒
zealous: 热心
zeitgeist: 时代精神
zenith: 顶点
