abase: అవమానించు
listless: ఆసక్తి లేని
litany: దైవ ప్రార్థన
litigate: న్యాయస్థానాలను
livid: నీలవర్ణము
loath: ఇష్టపడరు
lobby: లాబీ
loquacious: loquacious
lout: మొద్దు
lucid: గొప్ప
ludicrous: హాస్యాస్పదమైన
lugubrious: విచారకరమైన
luminous: ప్రతిభావంతుడైన
lyrical: లిరికల్
machination: కుతంత్రం
magnanimous: ఉదార
magnate: ద్రష్ట
malaise: ఆయాసం
malapropism: దుష్ప్రయోగం
malfeasance: దురాచారం
malignant: ప్రాణాంతక
malinger: బూటకాలమారి
malleable: సుతిమెత్తని
mandate: ఆదేశం
mania: ఉన్మాదం
manifest: మానిఫెస్ట్
manifesto: మేనిఫెస్టో
marginal: ఉపాంత
marshal: మార్షల్
martial: యుద్ధ
martyr: అమరవీరుడుగా
materialistic: భౌతికవాద
matriculate: మెట్రిక్యులేట్
maudlin: maudlin
maverick: స్వతంత్రుడు
mawkish: మాకిష్
maxim: సామెత
meander: వక్రనదం
mediate: మధ్యవర్తిత్వం
medium: మీడియం
melancholy: విచారంలో
melee: కొట్లాట
mellifluous: mellifluous
menagerie: జంతుప్రదర్శనశాల
mendacious: అబద్ధపు
mendicant: యాచకుడివలే
mentor: గురువు
mercenary: కిరాయి
mercurial: చంచలమైన
metamorphosis: రూపవిక్రియ
meticulous: ఖచ్చితమైన
microcosm: సూక్షప్రపంచముగా
milieu: పరిసర
millennium: సహస్రాబ్ది
miniscule: miniscule
mire: రొంపి
misanthropic: misanthropic
mitigate: ఉపశమింప
mode: మోడ్
modulate: శృతి
mollify: తృప్తి పరచు
momentum: ఊపందుకుంటున్నది
monolithic: ఏకశిలా
moratorium: విరామాన్ని
mores: కట్టుబాట్ల
moribund: మరణించుటకు సిద్దంగావున్న
morose: కోపంగా
mortify: గాయపరచు
motif: మూలాంశం
motley: రంగురంగుల
mundane: ప్రాపంచిక
municipal: పురపాలక
munificent: ఔదార్యంగల
muse: అధిదేవతగా
muster: సమకూర్చుకొను
myopia: హ్రస్వ దృష్టి
myriad: పదివేలు
mystic: మార్మిక
narcissism: శరీరాకర్షణ
nebulous: అస్పష్ట
nefarious: తోడ్పడడం
nemesis: శత్రువైన
neologism: నూతన
neophyte: neophyte
nepotism: స్వాభిమానము
nihilism: విధ్వంసకవాదాన్ని
nirvana: మోక్షం
noisome: ఉపద్రవకరమైన
nomadic: సంచార
nomenclature: నామావళి
nominal: నామమాత్రపు
nonchalant: క్రమబద్ధంకాని
nostalgia: నోస్టాల్జియా
notorious: సంచలనాత్మక
novel: నవల
noxious: హానికర
nuance: స్వల్పభేదాన్ని
nullify: రద్దు
obdurate: మూర్ఖమైన
obeisance: నమస్కారం
obfuscate: అర్ధం కాకుండా
objective: లక్ష్యం
oblique: వాలుగా
oblivion: ఉపేక్ష
obscure: నిగూఢ
obsequious: విధేయత
obtrusive: obtrusive
obtuse: గురు
obviate: నివారించు
occult: క్షుద్ర
odious: అప్రియమైన
odyssey: ఒడిస్సీ
officious: అధికారి
olfactory: ఘ్రాణ
oligarchy: రాజ్యాధిపత్యం
ominous: అరిష్ట
omniscient: సర్వజ్ఞులు
onerous: భారమైన
opaque: అపారదర్శక
opprobrious: తిట్టే
opulent: సంపన్నమైన
ordinance: ఆర్డినెన్స్
orthodox: సనాతన
oscillate: ఊగులాడు
osmosis: ఓస్మోసిస్
ostensible: ప్రత్యక్ష
ostentatious: డాబుసరి
ostracize: బహిష్కరించబడిన వాడు
oust: బహిష్కరించు
override: భర్తీ
overture: తెలుపుట
oxymoron: విరోధంతో
pacify: తృప్తి పరిచేందుకు
painstaking: క్లిష్టమైన
palatable: కథగా
palliate: తీవ్రతను తగ్గించాయి
pallor: శ్లేష్మ పొరలు
palpable: తాకుతూ లేక నొక్కుతూ పరీక్షించుట
paltry: పనికిమాలిన
panacea: ఔషధము
pandemic: మహమ్మారి
panegyric: స్తోత్రము
parable: నీతికథ
paradigm: రూపావళి
paradox: పారడాక్స్
paragon: శ్రేష్ఠత
parallel: సమాంతర
paranoia: మృత్యుభయం
paranormal: పారానార్మల్
parochial: చర్చి
parody: పేరడీ
paroxysm: నవ్వుతోనో లేక కోపంతోనో విరుచుకుపడుట
parsimonious: పిసినారి
partisan: పక్షపాత
partition: విభజన
pastoral: మతసంబంధ
patent: పేటెంట్
paternal: తండ్రివైపు
pathology: పాథాలజీ
pathos: విచారము
patina: patina
patriarch: మూలపురుషుడైన
patrician: అగ్రకుల
patrimony: పిత్రార్జితము
patronize: విశదం
paucity: కొరత
peccadillo: peccadillo
peculiar: విచిత్ర
pedantic: పాండిత్య ప్రకర్ష
pedestrian: పాదచారుల
pejorative: అవమానించటానికి
penchant: ప్రవృత్తి
penitent: పాపాత్ముడు
pensive: దిగులుగా వున్న
peregrination: peregrination
peremptory: peremptory
perennial: నిత్యం
perfidy: ద్రోహము
perfunctory: పట్టనట్లుగా
peripatetic: అధిక పాఠశాలలలో పనిచేయు
periphery: అంచున
perjury: అసత్య
permeate: నవలల్లో
pernicious: హానికరంగా
perpetrator: నేరస్తుడు
perpetuate: శాశ్వతం
perquisite: perquisite
pertinent: సంబంధించిన
perturb: చీకాకు పరచు
peruse: పరిశీలనగా
pervade: జీవనాదారంయ్యాయి
perverse: హేతుబద్దమైన
petulant: అవమానపరచునట్టి
phantasm: స్వప్నం
philanthropy: దాతృత్వం
philistine: ఫిలిష్తీయుల
phlegmatic: ఆవేశము
pilgrimage: తీర్థయాత్ర
pious: ఆరాధనాభావం
pivotal: కీలకమైన
placate: ప్రసన్నం
placebo: ప్లేసిబో
plaintive: plaintive
platitude: గంభీర ప్రకటన
platonic: అమలిన
plausible: ఆమోదయోగ్యంగా
plebeian: ప్లెబియన్
plethora: శాఖలు
pliable: తేలికగా వంగునట్టి
plight: దురవస్థ
plunder: దోపిడీ
pluralism: బహుళత్వ
poignant: అమితమైన
polarize: కేంద్రీకృతంచేయు
polemic: వాదం
ponderous: ప్రముఖ
pontificate: ఆశ్రయించవచ్చు
porous: పోరస్
portent: దుశ్శకునాన్ని
posterity: భావితరములకు
posthumous: మరణానంతర
postulate: ఆధారంలేని
posture: భంగిమ
pragmatic: కార్యసాధక
prattle: తడబడుతూ
precarious: భద్రతలేని
precedent: దృష్టాంతంగా
precept: నియమము
precipitate: అవక్షేపం
precipitous: అకస్మాత్తు
preclude: మూసివేయు
precocious: అకాల
precursor: పూర్వగామి
predecessor: ముందున్న
predicament: సంకట
predilection: ప్రత్యేక అభిరుచి
predispose: దారి
predominant: ప్రధానమైన
preeminent: ప్రముఖ
preempt: preempt
pregnant: గర్భిణీ
prelude: పల్లవి
premeditated: premeditated
premise: ఆవరణలో
preponderance: preponderance
prepossess: అనుకూలత
prerogative: అంశాలు
presage: శకునము
presentiment: presentiment
presumably: బహుశా
presuppose: శాస్త్రం
prevail: వ్యాప్తి చెందడం
primal: ప్రిమాల్
pristine: సహజమైన
privation: జీవితావసరాలు
proclaim: ప్రకటించుటకును
procure: సేకరించాలని
prodigal: తప్పిపోయిన
prodigious: అద్భుతమైన
prodigy: ప్రాడిజీ
profane: అపవిత్ర
profess: విశ్వాసము
proficient: ప్రావీణ్యాన్ని
profligate: సిగ్గులేని దుర్మార్గం పట్టిన
profound: లోతైన
profuse: అమితమైన
progeny: సంతాన
proletariat: శ్రామికవర్గం
proliferate: విస్తరించడమే
prolific: ఫలవంతమైన
promulgate: తెలియజేయడానికి
propagate: ప్రచారం
propensity: ప్రవృత్తిని
propitious: ప్రసన్నమైన
proponent: ప్రతిపాదకుడు
propound: ప్రతిపాదించు
proprietary: యాజమాన్య
propriety: యాజమాన్యంపై
prosaic: వచన
proscribe: నిషేధించు
proselytize: మతాంతీకరణకు
protagonist: ప్రవక్త
protege: ఆశ్రితుడైన
protocol: ప్రోటోకాల్
protract: protract
provident: ప్రావిడెంట్
provincial: ప్రాంతీయ
provisional: తాత్కాలిక
provocation: రెచ్చగొట్టే
prowess: పరాక్రమం
proximity: సామీప్యత
prudent: వివేకం
prurient: prurient
pseudonym: మారుపేరు
psyche: విశ్వములో
pummel: పిడికిలితో కొట్టు
punctilious: punctilious
pundit: పండితుడు
pungent: గాఢమైన
punitive: శిక్షాత్మక
purblind: చూపు తగ్గిన
puritanical: ప్యూరిటానికల్
putative: సంభవించబోయే
quaint: quaint
qualify: అర్హత
qualitative: గుణాత్మక
quandary: ఇరకాటంలో
quasi: పాక్షిక
quay: గట్టు
quell: అరికట్టడానికి
querulous: querulous
query: ప్రశ్న
queue: క్యూ
quiescent: నిశ్చల
quintessential: తత్వ
quixotic: సాహసములు
quizzical: quizzical
quotidian: దైనిక
ramification: శాఖలను
rampant: ప్రబలిన
rancor: అస్థిరమైన
rapacious: పేరాశగల
rapture: రప్చర్
rarefied: కాలుష్యంలేని
ratify: ఆమోదించటానికి
ratiocination: రేషియోసినేషన్
rationale: హేతుబద్ధత
raucous: బొంగురుగా
reactionary: అభివృద్ధి నిరోధక
rebuff: ఆకస్మిక మందలింపు
rebuke: చీవాట్లు
rebut: త్రిప్పికొట్టు
recalcitrant: అవిధేయత
recant: వెనుకంజ వేయు
recidivism: తిరగబెట్టే
reciprocal: అన్యోన్యంగా
reclaim: తిరిగి చేజిక్కించుకోవాలని
reclusive: ఒంటరిగా ఉన్న
recondite: గూఢ
recrimination: recrimination
redeem: విమోచనం
redolent: సువాసన గల
redress: గాయపడినవారికి
redundant: పునరావృత
referendum: ప్రజాభిప్రాయ
refractory: వక్రీభవన
refute: తోసిపుచ్చే
regime: పాలన
regimen: నియమావళి
reiterate: పునరుద్ఘాటించు
relegate: బహిష్కరించు
relentless: కనికరంలేని
relinquish: వదిలివేయాలి
remission: ఉపశమనం
remonstrate: అడ్డు చెప్పు
remuneration: వేతనం
renaissance: పునరుజ్జీవన
rend: బలవంతంగా చీల్చు
render: రెండర్
renounce: త్యజించు
reparation: నష్టపరిహారాన్ని
repartee: చిలిపిగా సమాధానం
repercussion: ప్రతి ధ్వని
replenish: తిరిగి
replete: నిండి
replicate: నకలు
repose: నిద్ర
reprehensible: గర్హనీయమైన
repress: అణిచివేతకు
reprimand: తీవ్రంగా మందలించు
reprisal: ప్రతీకారం
reproach: నింద
reprobate: మందలించు
reprove: నిరూపించుకోవాలి
repudiate: నిరాకరించు
repugnant: repugnant
requisite: అవసరమైన
resignation: రాజీనామా
resolute: నిశ్చయముగా
respite: ఉపశమనం
resplendent: ఎంతో
resurrection: పునరుజ్జీవం
reticent: మాట్లాడే స్వభావం గల
retort: రిటార్ట్
retrospect: గతాన్ని
revamp: పునరుద్ధరించడానికి
revel: ఆనందించు
revere: గౌరవించు
revile: తిట్టు
revulsion: ఉన్నట్టుండి ఏర్పడు నష్టము
rhapsodize: rhapsodize
rhetoric: వాక్చాతుర్యాన్ని
ribald: అసభ్యమైన
rife: ఊపందుకున్నాయి
rigorous: కఠినమైన
rivet: మేకు
robust: బలమైన
rogue: రోగ్
rout: అల్లరిమూకను
rudimentary: మూలాధార
rue: ర్యూ
ruminate: నెమరువేయు
rustic: మోటైన
saccharine: తియ్యని
sacrilege: గుళ్లను
sacrosanct: బాగా ఉన్నతమైన
sagacious: వివేకవంతుడైన వ్యక్తిగా
salient: ప్రధానాంశాలు
sally: పరిగెత్తు
salutary: పరిస్థితి
salutation: వందనం
sanctimonious: sanctimonious
sanction: మంజూరు
sanguine: ఆశలు నిండిన
sarcasm: వ్యంగ్యం
sardonic: కుటిలమైన
savant: సావంత్
scant: తక్కువ పరిమాణం గల
schism: అభిప్రాయభేదం
scintillate: తెలివిగా మాట్లాడు
scorn: సాహసించరు
scrupulous: సూక్ష్మబుద్ధి
scrutinize: పరీక్షించేవారు
seamless: అతుకులు
secede: విడిపోవడానికి
seclusion: ఒంటరితనం
sect: తెగ
secular: లౌకిక
sedentary: నిశ్చల
sedition: దేశద్రోహం
segregate: విడిపోతాయి
self-made: స్వంతంగా తయారైన
sensory: ఇంద్రియ
sententious: sententious
sentient: జ్ఞాన
sequester: బంధించడానికి
serendipity: వూహించని
serene: నిర్మలమైన
serpentine: సర్పిలాకార
servile: లొంగుబాటు
shackle: shackle
shibboleth: షిబ్బోలెత్
shrewd: చురుకైనవి
singular: ఏక
sinister: చెడు
skirmish: వాగ్వివాదం
skittish: skittish
slake: తీర్చుకొను
slander: అపవాదు
sloth: బద్ధకం
sobriety: నిగ్రహశక్తిని
solace: ఓదార్పు
solidarity: సంఘీభావం
solvent: ద్రావకం
soporific: మత్తు పుట్టించే
sordid: అనైతిక
sovereign: సార్వభౌమ
spate: వరద
spawn: స్పాన్
specious: పైకి మంచిగా
specter: దెయ్యము
spectrum: స్పెక్ట్రం
sporadic: చెదురుమదురు
spurious: అవాస్తవికమైన
spurn: తిరస్కరిస్తారు
squalor: దీనమైన
squander: విచ్చలవిడిగా ఖర్చు చేయు
stagnation: స్తబ్దత
stalwart: బలముగల
stark: స్టార్క్
static: స్టాటిక్
staunch: ధృడమైన
steadfast: ధృడమైన
stigmatize: stigmatize
stint: మాయాజాలాన్ని
stipend: వేతనం
stipulate: నియమములు
stoic: జ్ఞాని
stolid: బరువెక్కిన
stout: బలిసిన
stratagem: యుద్ధతంత్రం
stratum: వర్గం
stricture: నింద
strife: కలహాలు
stringent: కఠినమైన
stupendous: బ్రహ్మాండమైన
stupor: సగమో లేక పూర్తిగానో తెలివితో
stymie: అడ్డుకొంటుంది
subjugate: లోబరుచుకొను
sublime: ఉత్కృష్టమైన
subordinate: అధీన
subside: నయం
subsidiary: అనుబంధ
subsidize: ప్రోత్సహాకాలు
substantiate: శక్తివంతం
substantive: యదార్థమైన
subterfuge: మభ్య పెట్టే
subtle: సూక్ష్మ
subversive: అడ్డుతగిలే
succinct: క్లుప్తమైన
succumb: మరణించు
suffice: తగినంత
suffrage: ఓటుహక్కు
suffuse: వ్యాపించు
sumptuous: దివ్యమైన
supercilious: భావోద్వేగమైన
superficial: మిడిమిడి
superfluous: నిరుపయోగంగా
supersede: రద్దు
supine: వెల్లకిలా పడుకోవడం
supplication: విన్నపము
suppress: అణచివేయడానికి
surfeit: surfeit
surmise: భావిస్తున్నారు
surreal: అధివాస్తవిక
surreptitious: రహస్య
surrogate: సర్రోగేట్
susceptible: ఆకర్షకం
sweeping: స్వీపింగ్
sycophant: స్తోత్ర పాఠకుడు
syntax: వాక్యనిర్మాణం
synthesis: సంశ్లేషణ
systemic: దైహిక
tacit: అప్రకటిత
taciturn: taciturn
tactical: వ్యూహాత్మక
taint: పాల్పడకుండా
tangential: ఊహించిన విధంగా జరుగు
tangible: పరిగణింపబడే
tantamount: tantamount
tautological: tautological
tedium: tedium
teem: teem
temerity: temerity
temperate: సమశీతోష్ణ
temporal: తత్కాల
temporize: temporize
tenable: tenable
tenacious: మంచి జ్ఞాపకశక్తి
tenet: సిద్ధాంతమని
tentative: అస్థిరమైనదనే
tenuous: పలుచగా
tepid: గోరువెచ్చని
terse: సంక్షిప్తమైన
theology: వేదాంత
thesis: థీసిస్
thorny: విసుగు పుట్టించెడు
threshold: గడప
throttle: థొరెటల్
thwart: అడ్డుకుంటుంది
timorous: భయపడిన
tirade: తిట్ల
titillate: titillate
titular: నామమాత్ర
toil: పనులు
torpor: తిమ్మిరి
tortuous: చుట్టగానుండు
touchstone: గీటురాయి
tout: దళారి వ్యాపారం చేయు
toxic: విష
transcend: మించిపోయిందని
transfix: పొడిచివేయు
transgress: అతిక్రమించలేదు
transient: అశాశ్వతమైన
trauma: గాయం
travesty: అవహేళనగా
trenchant: తీక్షణ
trepidation: వణుకు
triumvirate: జట్ల
tryst: సంభోగం
tumult: కలహము
turbid: బురదగా
turmoil: సంక్షోభం
turpitude: దుర్మార్గము
ubiquitous: సర్వవ్యాప్తి
uncanny: మాయమైన
unconscionable: అన్యాయముగా
unctuous: జిడ్డు లేని
underlying: అంతర్లీన
undermine: అణగదొక్కాలని
underscore: అండర్
underwrite: వ్రాయు
uniform: ఏకరీతి
unilateral: ఏకపక్ష
unremitting: అంతులేని
unwitting: తెలియకుండా
urbane: మర్యాదగల
usurp: బలాత్కారంగా
usury: అధిక వడ్డీ
utilitarian: ప్రయోజనకర
utopia: ఆదర్శధామం
vacillate: vacillate
vacuous: శూన్య
vagary: vagary
vanquish: వాన్క్విష్
vapid: vapid
vehement: తీక్షణమైన
venal: వెనల్
veneer: పొరగా
venerate: స్తుతించటానికి
veracity: కచ్చితత్వాన్ని
verbose: వాచాల
verdant: verdant
verge: అంచుకు
verisimilitude: సంభవనీయత
verity: verity
vernacular: వ్యావహారికంలో
vestige: అవశేషము
vex: Vex
viable: అనుకూలమైన
vicarious: ప్రత్యామ్నాయముగా
vicissitude: vicissitude
vie: vie
vigilant: అప్రమత్తంగా
vignette: విగ్నేట్టే
vilify: vilify
vindicate: వాస్తవమైన
vindictive: పగతీర్చుకొనెడు
virtuoso: ఘనాపాటీ
virulent: తీవ్రమైన
viscous: జిగట
visionary: అధ్బుతమైన
vitiate: vitiate
vitriolic: vitriolic
vivacious: సచేతన
vocation: ఉద్యోగరీత్యా
vociferous: అరుపులతో
vogue: వోగ్
volatile: అస్థిర
volition: సంకల్పము
voluminous: భారీ
voluptuous: విలాసవంతమైన
voracious: ఆతురతగల
waft: గాలిలో నీటిలో తేలిపోవు
waive: వదులుకోవాలి
wake: మేల్కొనడానికి
wane: క్షీణిస్తున్నట్లు
wanton: ఉల్లాసమైన
warrant: వారెంట్
wary: వీటి నుండి జాగ్రత్తగా
willful: మనస్పూర్తిగా
wistful: తీవ్రమైన కాంక్ష కలిగిన
wizened: wizened
woe: దుఃఖకరమైన విషయము
wrath: కోపం
zealous: ఉత్సాహపూరిత
zeitgeist: సమయం క్లుప్తంగ
zenith: అత్యున్నత
