abase: humillar
torpor: letargo
tortuous: tortuoso
touchstone: piedra de toque
tout: revendedor
toxic: tóxico
transcend: trascender
transfix: traspasar
transgress: transgredir
transient: transitorio
trauma: trauma
travesty: parodia
trenchant: incisivo
trepidation: miedo
triumvirate: triunvirato
tryst: cita
tumult: tumulto
turbid: túrbido
turmoil: confusión
turpitude: depravación
ubiquitous: ubicuo
uncanny: misterioso
unconscionable: excesivo
unctuous: untuoso
underlying: subyacente
undermine: socavar
underscore: guion bajo
underwrite: suscribir
uniform: uniforme
unilateral: unilateral
unremitting: incesante
unwitting: involuntario
urbane: urbano
usurp: usurpar
usury: usura
utilitarian: utilitario
utopia: utopía
vacillate: vacilar
vacuous: vacío
vagary: capricho
vanquish: vencer a
vapid: insípido
vehement: vehemente
venal: venal
veneer: chapa
venerate: venerar
veracity: veracidad
verbose: verboso
verdant: verde
verge: borde
verisimilitude: verosimilitud
verity: verdad
vernacular: vernáculo
vestige: vestigio
vex: vejar
viable: viable
vicarious: vicario
vicissitude: vicisitud
vie: rivalizar
vigilant: vigilante
vignette: viñeta
vilify: vilipendiar
vindicate: vindicar
vindictive: vengativo
virtuoso: virtuoso
virulent: virulento
viscous: viscoso
visionary: visionario
vitiate: viciar
vitriolic: vitriólico
vivacious: vivaz
vocation: vocación
vociferous: vociferante
vogue: moda
volatile: volátil
volition: voluntad
voluminous: voluminoso
voluptuous: voluptuoso
voracious: voraz
waft: ráfaga
waive: renunciar
wake: despertar
wane: menguar
wanton: sin sentido
warrant: orden
wary: cauteloso
willful: deliberado
wistful: anhelante
wizened: arrugado
woe: aflicción
wrath: ira
zealous: celoso
zeitgeist: creencias durante un tiempo determinado
zenith: cenit
